exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs
resnet50_set14_lr6e-05_numtrain1000_augment1_epochmult10_v0,14,0.9980000257492064,0.9473214149475098,6e-05,1000,280
resnet50_set15_lr0.0003_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9951785802841188,0.0003,1000,280
resnet50_set15_lr0.0001_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9939285516738892,0.0001,1000,280
resnet50_set15_lr6e-05_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9900000095367432,5.9999999999999995e-05,1000,280
resnet50_set16_lr0.0003_numtrain1000_augment1_epochmult10_v0,16,1.0,0.9955357313156128,0.0003,1000,280
resnet50_set16_lr0.0001_numtrain1000_augment1_epochmult10_v0,16,1.0,0.9946428537368774,0.0001,1000,280
resnet50_set16_lr6e-05_numtrain1000_augment1_epochmult10_v0,16,1.0,0.9885714054107666,6e-05,1000,280
resnet50_set17_lr0.0003_numtrain1000_augment1_epochmult10_v0,17,1.0,0.8376785516738892,0.0003,1000,280
resnet50_set17_lr0.0001_numtrain1000_augment1_epochmult10_v0,17,1.0,0.8232142925262451,0.0001,1000,280
resnet50_set17_lr6e-05_numtrain1000_augment1_epochmult10_v0,17,1.0,0.8137499690055847,5.9999999999999995e-05,1000,280
resnet50_set18_lr0.0003_numtrain1000_augment1_epochmult10_v0,18,1.0,0.9858928322792052,0.0003,1000,280
resnet50_set18_lr0.0001_numtrain1000_augment1_epochmult10_v0,18,1.0,0.9860714077949524,0.0001,1000,280
resnet50_set18_lr6e-05_numtrain1000_augment1_epochmult10_v0,18,1.0,0.983214259147644,6e-05,1000,280
resnet50_set19_lr0.0003_numtrain1000_augment1_epochmult10_v0,19,1.0,0.7521428465843201,0.0003,1000,280
resnet50_set19_lr0.0001_numtrain1000_augment1_epochmult10_v0,19,1.0,0.7092857360839844,0.0001,1000,280
resnet50_set19_lr6e-05_numtrain1000_augment1_epochmult10_v0,19,1.0,0.6703571081161499,5.9999999999999995e-05,1000,280
resnet50_set20_lr0.0003_numtrain1000_augment1_epochmult10_v0,20,1.0,0.6194642782211304,0.0003,1000,280
resnet50_set20_lr0.0001_numtrain1000_augment1_epochmult10_v0,20,1.0,0.6857143044471741,0.0001,1000,280
resnet50_set20_lr6e-05_numtrain1000_augment1_epochmult10_v0,20,1.0,0.6732142567634583,6e-05,1000,280
resnet50_set21_lr0.0003_numtrain1000_augment1_epochmult10_v0,21,1.0,0.5382142663002014,0.0003,1000,280
resnet50_set21_lr0.0001_numtrain1000_augment1_epochmult10_v0,21,1.0,0.5669642686843872,0.0001,1000,280
resnet50_set21_lr6e-05_numtrain1000_augment1_epochmult10_v0,21,1.0,0.5623214244842529,5.9999999999999995e-05,1000,280
resnet50_set22_lr0.0003_numtrain1000_augment1_epochmult10_v0,22,1.0,0.97303569316864,0.0003,1000,280
resnet50_set22_lr0.0001_numtrain1000_augment1_epochmult10_v0,22,1.0,0.9555357098579408,0.0001,1000,280
resnet50_set22_lr6e-05_numtrain1000_augment1_epochmult10_v0,22,1.0,0.9526785612106324,6e-05,1000,280
resnet50_set23_lr0.0003_numtrain1000_augment1_epochmult10_v0,23,1.0,0.9992856979370116,0.0003,1000,280
resnet50_set23_lr0.0001_numtrain1000_augment1_epochmult10_v0,23,1.0,0.9962499737739564,0.0001,1000,280
resnet50_set23_lr6e-05_numtrain1000_augment1_epochmult10_v0,23,1.0,0.9955357313156128,5.9999999999999995e-05,1000,280
resnet50_set1_lr0.0003_numtrain100_augment1_epochmult10_v0,1,1.0,0.5337499976158142,0.0003,100,2800
resnet50_set1_lr0.0001_numtrain100_augment1_epochmult10_v0,1,1.0,0.5671428442001343,0.0001,100,2800
resnet50_set1_lr6e-05_numtrain100_augment1_epochmult10_v0,1,1.0,0.587142825126648,6e-05,100,2800
resnet50_set2_lr0.0003_numtrain100_augment1_epochmult10_v0,2,1.0,0.998035728931427,0.0003,100,2800
resnet50_set2_lr0.0001_numtrain100_augment1_epochmult10_v0,2,1.0,0.99785715341568,0.0001,100,2800
resnet50_set2_lr6e-05_numtrain100_augment1_epochmult10_v0,2,1.0,0.9987499713897704,5.9999999999999995e-05,100,2800
resnet50_set3_lr0.0003_numtrain100_augment1_epochmult10_v0,3,1.0,0.9430357217788696,0.0003,100,2800
resnet50_set3_lr0.0001_numtrain100_augment1_epochmult10_v0,3,1.0,0.8078571557998657,0.0001,100,2800
resnet50_set3_lr6e-05_numtrain100_augment1_epochmult10_v0,3,1.0,0.7278571128845215,6e-05,100,2800
resnet50_set4_lr0.0003_numtrain100_augment1_epochmult10_v0,4,1.0,0.9955357313156128,0.0003,100,2800
resnet50_set4_lr0.0001_numtrain100_augment1_epochmult10_v0,4,1.0,0.9907142519950868,0.0001,100,2800
resnet50_set4_lr6e-05_numtrain100_augment1_epochmult10_v0,4,1.0,0.9875000119209292,5.9999999999999995e-05,100,2800
resnet50_set5_lr0.0003_numtrain100_augment1_epochmult10_v0,5,1.0,0.5341071486473083,0.0003,100,2800
resnet50_set5_lr0.0001_numtrain100_augment1_epochmult10_v0,5,1.0,0.5594642758369446,0.0001,100,2800
resnet50_set5_lr6e-05_numtrain100_augment1_epochmult10_v0,5,1.0,0.5592857003211975,6e-05,100,2800
resnet50_set6_lr0.0003_numtrain100_augment1_epochmult10_v0,6,1.0,0.564464271068573,0.0003,100,2800
resnet50_set6_lr0.0001_numtrain100_augment1_epochmult10_v0,6,1.0,0.5864285826683044,0.0001,100,2800
resnet50_set6_lr6e-05_numtrain100_augment1_epochmult10_v0,6,1.0,0.5880357027053833,5.9999999999999995e-05,100,2800
resnet50_set7_lr0.0003_numtrain100_augment1_epochmult10_v1,7,1.0,0.5362499952316284,0.0003,100,2800
resnet50_set7_lr0.0001_numtrain100_augment1_epochmult10_v1,7,1.0,0.554107129573822,0.0001,100,2800
resnet50_set7_lr6e-05_numtrain100_augment1_epochmult10_v1,7,1.0,0.5564285516738892,5.9999999999999995e-05,100,2800
resnet50_set8_lr0.0003_numtrain100_augment1_epochmult10_v1,8,1.0,0.9130356907844543,0.0003,100,2800
resnet50_set8_lr0.0001_numtrain100_augment1_epochmult10_v1,8,1.0,0.9132142663002014,0.0001,100,2800
resnet50_set8_lr6e-05_numtrain100_augment1_epochmult10_v1,8,1.0,0.9124999642372132,6e-05,100,2800
