exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs,pretrained
resnet50_set12_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,12,1.0,0.9921428561210632,0.0003,1000,280,0
resnet50_set13_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,13,1.0,0.969107151031494,0.001,1000,280,0
resnet50_set13_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,13,1.0,0.958571434020996,0.0006,1000,280,0
resnet50_set13_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,13,1.0,0.9232142567634584,0.0003,1000,280,0
resnet50_set14_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,14,1.0,0.977142870426178,0.001,1000,280,0
resnet50_set14_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,14,1.0,0.9741071462631226,0.0006,1000,280,0
resnet50_set14_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,14,1.0,0.9557142853736876,0.0003,1000,280,0
resnet50_set15_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9794642925262452,0.001,1000,280,0
resnet50_set15_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9717857241630554,0.0006,1000,280,0
resnet50_set15_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,15,1.0,0.9508928656578064,0.0003,1000,280,0
resnet50_set16_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,16,1.0,0.9966071248054504,0.001,1000,280,0
resnet50_set16_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,16,1.0,0.9785714149475098,0.0006,1000,280,0
resnet50_set16_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,16,1.0,0.5394642949104309,0.0003,1000,280,0
resnet50_set17_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,17,1.0,0.8466071486473083,0.001,1000,280,0
resnet50_set17_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,17,1.0,0.8307142853736877,0.0006,1000,280,0
resnet50_set17_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,17,1.0,0.7855356931686401,0.0003,1000,280,0
resnet50_set18_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,18,1.0,0.9871428608894348,0.001,1000,280,0
resnet50_set18_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,18,1.0,0.9882142543792723,0.0006,1000,280,0
resnet50_set18_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,18,1.0,0.9798214435577391,0.0003,1000,280,0
resnet50_set19_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,19,1.0,0.5107142925262451,0.001,1000,280,0
resnet50_set19_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,19,1.0,0.524821400642395,0.0006,1000,280,0
resnet50_set19_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,19,1.0,0.5048214197158813,0.0003,1000,280,0
resnet50_set20_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,20,1.0,0.5062500238418579,0.001,1000,280,0
resnet50_set20_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,20,1.0,0.5196428298950195,0.0006,1000,280,0
resnet50_set20_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,20,1.0,0.5210714340209961,0.0003,1000,280,0
resnet50_set21_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,21,1.0,0.512499988079071,0.001,1000,280,0
resnet50_set21_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,21,1.0,0.5012499690055847,0.0006,1000,280,0
resnet50_set21_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,21,1.0,0.5049999952316284,0.0003,1000,280,0
resnet50_set22_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,22,1.0,0.9133928418159484,0.001,1000,280,0
